Date,MinTemp,MaxTemp,Rainfall,Sunshine
10-05-2018,8.0,24.3,0.0,6.3
11-05-2018,14.0,26.9,3.6,9.7
12-05-2018,13.7,23.4,3.6,3.3
13-05-2018,13.3,15.5,39.8,9.1
14-05-2018,7.6,16.1,2.8,10.6
15-05-2018,6.2,16.9,0.0,8.2
16-05-2018,6.1,18.2,0.2,8.4
17-05-2018,8.3,17.0,0.0,4.6
18-05-2018,8.8,19.5,0.0,4.1
19-05-2018,8.4,22.8,16.2,7.7
20-05-2018,9.1,25.2,0.0,11.9
21-05-2018,8.5,27.3,0.2,12.5
22-05-2018,10.1,27.9,0.0,13.0
23-05-2018,12.1,30.9,0.0,12.4
24-05-2018,10.1,31.2,0.0,13.1
25-05-2018,12.4,32.1,0.0,11.1
26-05-2018,13.8,31.2,0.0,8.4
27-05-2018,11.7,30.0,1.2,10.1
28-05-2018,12.4,32.3,0.6,13.0
29-05-2018,15.6,33.4,0.0,10.4
30-05-2018,15.3,33.4,0.0,9.5
31-05-2018,16.4,19.4,0.4,0.0
01-06-2018,12.8,18.5,25.8,0.6
02-06-2018,12.0,24.3,0.4,7.5
03-06-2018,15.4,28.4,0.0,8.1
04-06-2018,15.6,26.9,0.0,8.9
05-06-2018,13.3,22.2,0.2,2.3
06-06-2018,12.9,28.0,0.0,10.7
07-06-2018,15.1,24.3,0.0,0.4
08-06-2018,13.6,24.1,0.4,0.5
09-06-2018,15.1,20.4,22.6,0.2
10-06-2018,11.6,26.3,4.2,12.0
11-06-2018,16.6,24.2,0.2,4.7
12-06-2018,13.3,26.5,6.6,11.8
13-06-2018,14.5,21.8,0.0,9.8
14-06-2018,16.3,26.8,0.0,6.3
15-06-2018,17.2,25.8,0.0,8.8
16-06-2018,16.5,28.2,4.0,8.8
17-06-2018,15.0,29.4,0.0,11.1
18-06-2018,14.9,24.8,0.0,10.0
19-06-2018,11.8,18.5,0.6,2.3
20-06-2018,11.7,21.5,0.0,7.3
21-06-2018,9.6,20.3,0.0,3.6
22-06-2018,8.9,27.1,0.0,12.7
23-06-2018,10.1,29.9,0.0,8.8
24-06-2018,15.5,21.1,5.4,0.9
25-06-2018,10.8,21.7,1.4,10.6
26-06-2018,7.5,20.9,0.0,8.7
27-06-2018,12.8,21.0,0.0,0.8
28-06-2018,12.6,23.1,3.4,2.3
29-06-2018,14.8,29.5,6.4,8.1
30-06-2018,19.9,22.0,11.0,5.9
01-07-2018,9.2,20.4,17.4,10.2
02-07-2018,12.4,24.4,0.0,12.1
03-07-2018,11.3,21.7,3.4,5.6
04-07-2018,9.8,26.3,0.0,13.0
05-07-2018,14.3,26.7,0.0,7.1
06-07-2018,15.1,28.3,14.4,13.2
07-07-2018,14.4,31.6,0.0,13.6
08-07-2018,15.4,35.0,0.0,13.0
09-07-2018,13.8,33.5,0.0,13.6
10-07-2018,13.6,34.2,0.0,12.8
11-07-2018,14.3,35.0,0.0,10.5
12-07-2018,15.9,23.4,0.0,2.2
13-07-2018,16.7,25.3,0.0,12.5
14-07-2018,12.1,27.5,0.0,11.7
15-07-2018,14.3,34.1,0.0,10.5
16-07-2018,16.5,33.9,0.0,12.6
17-07-2018,16.5,30.3,0.0,8.1
18-07-2018,17.5,29.9,0.0,8.8
19-07-2018,14.7,34.2,0.0,12.8
20-07-2018,17.5,35.8,0.0,13.3
21-07-2018,20.9,35.7,0.0,6.9
22-07-2018,17.0,33.8,2.0,13.5
23-07-2018,16.0,22.8,0.0,6.0
24-07-2018,15.4,33.8,0.0,11.1
25-07-2018,17.9,33.2,0.0,8.4
26-07-2018,15.2,25.1,4.8,11.6
27-07-2018,15.1,20.4,0.0,0.1
28-07-2018,15.3,19.6,18.8,0.0
29-07-2018,17.2,24.7,12.2,8.1
30-07-2018,15.9,19.9,0.8,1.6
31-07-2018,10.0,22.5,0.0,11.6
01-08-2018,9.9,24.4,0.0,10.8
02-08-2018,10.3,27.8,0.0,9.9
03-08-2018,15.4,25.7,0.0,8.2
04-08-2018,12.7,28.8,0.0,9.0
05-08-2018,13.2,31.3,0.0,11.6
06-08-2018,15.3,33.2,0.0,13.2
07-08-2018,17.9,33.9,0.0,11.8
08-08-2018,18.0,34.9,0.0,9.9
09-08-2018,17.6,27.8,5.2,3.6
10-08-2018,16.0,23.8,2.2,6.2
11-08-2018,14.9,28.8,0.0,8.1
12-08-2018,17.1,29.6,0.0,9.2
13-08-2018,18.2,22.6,1.8,0.0
14-08-2018,16.8,22.8,9.0,0.3
15-08-2018,13.6,27.4,1.0,8.0
16-08-2018,14.5,24.2,0.0,5.9
17-08-2018,12.4,19.9,16.2,5.6
